,bias,factuality,owner,source,owner_type,transgend,tran,gender,lgbtq,sex,school,marriag,right,sunak,alberta,legal,say,greec,time,question,ghey,brianna,polici,member,colleg,propos,student,board,mother,utah,youth,new,ralli,senat,plan,initi,state,critic,surgeri,jibe,protest,girl,identifi,game,peopl,apolog,japan,activist,countri,orthodox,survey,face,rishi,affirm,divers,oppos,leader,vote,commun,chang,parent,progress,recognit,inclus,rule,transit,support,resign,kentucki,follow,remark,shooter,equiti,greek,group,hundr,limit,year,court
211,Lean Left,High Factuality,Roberts Family,https://www.nbcnews.com/nbc-out/out-news/transgender-survey-transition-hrt-surgery-gender-affirming-rcna137563?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.16236131066910287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26242934131509665,0.0,0.0,0.0,0.0,0.0,0.26679229661363235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276540441760083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Center,High Factuality,Nexstar Media Group,https://www.kxan.com/lgbtq/largest-ever-survey-of-transgender-americans-shows-high-satisfaction-with-gender-transition/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.18056802333709165,0.0,0.2261681303372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3260902924243259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33800508734812523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Left,Mixed Factuality,,https://www.thepinknews.com/2024/02/08/trans-people-us-survey-transition/?utm_source=ground.news&utm_medium=referral,,0.0,0.22096624515385724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35715421321510654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763587691987195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Right,Mixed Factuality,,https://notthebee.com/article/94-of-trans-people-happier-following-their-transition-according-to-totally-legit-online-survey-sponsored-by-trans-advocacy-group?utm_source=ground.news&utm_medium=referral,,0.0,0.2582462509950146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20870548921545384,0.0,0.0,0.0,0.0,0.0,0.21217527165457806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21992780188438354,0.0,0.0,0.0,0.22430376916007136,0.0,0.0,0.0,0.0,0.21992780188438354,0.0,0.0,0.0,0.0
215,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/politics/2024/feb/08/minister-chris-philp-defends-rishi-sunak-transgender-jibe-amid-calls-for-apology?utm_source=ground.news&utm_medium=referral,Independent,0.19739827706511276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29791510615746675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3564842805641885,0.0,0.0,0.0,0.0,0.0,0.36274621578910493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Lean Left,Mixed Factuality,Reach Plc,https://www.mirror.co.uk/news/politics/tory-minister-struggles-defend-rishi-32074949?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.14459415277836993,0.0,0.0,0.0,0.0,0.0,0.0,0.19856084352582098,0.0,0.0,0.0,0.0,0.20494325170875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23759728187501522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24177087064129366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Center,Mixed Factuality,Reach Plc,https://www.liverpoolecho.co.uk/news/tv/good-morning-britain-viewers-say-28591434?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.13191234094046592,0.0,0.0,0.0,0.0,0.0,0.0,0.18114581527201837,0.0,0.0,0.18495335419184236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21675851375031183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22056605267013582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Center,High Factuality,Roberts Family,https://news.sky.com/story/minister-calls-for-respectful-and-measured-language-after-sunak-transgender-jibe-13066566?utm_source=ground.news&utm_medium=referral,Individual,0.1778529725031319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2684171714741673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32118714454669733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Lean Left,Mixed Factuality,Dan Abrams,https://www.mediaite.com/uk/bbc-breakfast-host-rips-tory-minister-for-disingenuous-dodging-of-sunak-apology-question/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004723439253918,0.0,0.0,0.0,0.0,0.0,0.2168298986858314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24409834421377224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,,,,https://faharas.net/minister-calls-for-respectful-and/?utm_source=ground.news&utm_medium=referral,,0.1721938236510755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598763373995864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32874291424181246,0.32874291424181246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
