,bias,factuality,owner,source,owner_type,transgender,trans,gender,lgbtq,sex,marriage,school,sunak,right,alberta,greece,say,time,ghey,brianna,policy,member,college,board,mother,senate,utah,student,youth,rally,initiative,new,state,surgery,jibe,girl,people,game,legal,japan,orthodox,country,proposed,survey,rishi,affirming,plan,leader,activist,vote,community,change,diversity,recognition,support,questioned,kentucky,shooter,remark,inclusion,equity,group
26,Center,High Factuality,,https://triblive.com/news/politics-election/house-members-raise-questions-about-speaker-johnsons-invite-of-hate-preacher/?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25223807793251457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Lean Right,Mixed Factuality,,https://www.christianpost.com/news/44-percent-trans-identified-report-serious-psychological-distress.html?utm_source=ground.news&utm_medium=referral,,0.0,0.15501038447974425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Center,High Factuality,Bell Media,https://calgary.ctvnews.ca/legal-experts-raise-concerns-about-alberta-s-plans-for-transgender-youth-1.6770356?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.19277018264876308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30028182025859484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371078142995749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542414620455261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36084629614996083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Lean Left,High Factuality,Government of Canada,https://www.cbc.ca/news/canada/calgary/trans-letter-law-professors-rights-smith-1.7116436?utm_source=ground.news&utm_medium=referral,Government,0.19277018264876308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30028182025859484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371078142995749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542414620455261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36084629614996083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Lean Left,High Factuality,Corus Entertainment,https://globalnews.ca/news/10296987/transgender-youth-alberta-legal-experts/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.1851496106219949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288411108677753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3237813011202153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3402376231774359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465813556253483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Lean Left,High Factuality,Torstar,https://www.thestar.com/news/canada/deep-concerns-legal-experts-criticize-albertas-plans-for-transgender-youth/article_30d154f9-0097-540a-a94d-34a2ca5dff71.html?utm_source=ground.news&utm_medium=referral,Private Equity,0.17320660929981038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698072658681483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30289591824316386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31829073185093415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32422526438339183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Lean Left,High Factuality,Glacier Media,https://www.sasktoday.ca/indigenous-news/legal-experts-raise-concerns-about-albertas-plans-for-transgender-youth-8312193?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.19277018264876308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30028182025859484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371078142995749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542414620455261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36084629614996083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Lean Left,High Factuality,,https://www.thereminder.ca/alberta-news/deep-concerns-legal-experts-criticize-albertas-plans-for-transgender-youth-8312190?utm_source=ground.news&utm_medium=referral,,0.17320660929981038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698072658681483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30289591824316386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31829073185093415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32422526438339183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/uk/home-news/brianna-ghey-mother-esther-murder-trans-online-b2497252.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.1820231151571802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608880061761434,0.0,0.27745031905910655,0.27745031905910655,0.0,0.0,0.0,0.0,0.28533574997236033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Lean Right,Mixed Factuality,Reach Plc,https://www.express.co.uk/news/uk/1867303/brianna-ghey-targeted-trans-hate?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.17844201010808566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25575532093801395,0.0,0.27199178848952765,0.27199178848952765,0.0,0.0,0.0,0.0,0.27972208220257827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
